pt,keterangan,jalan
"Wira Wijaya Riani, PT", Produk Usaha : Pakaian Wanita Bisnis dengan produk,Jl.Raya Jakarta Bogor Km.45
"Joung Saudara Abadi Busana, PT", Produk Usaha : Pakaian Rajut Bisnis dengan produk,Bintang Mas Rt.01/02
Dianing Sari Sejahtera/Dns, Telepon :8752332 8753035  Produk Usaha : Pakaian Olahraga Bisnis dengan produk,"Jl. Raya Jakarta Bogor Km 41,2"
Uni Makmur Elektrika Pt, Telepon :021-8752191 021-8752689  Produk Usaha : Panel Listrik Bisnis dengan produk,Jl Kayu Manis No.10
"Tatto/Hole Mayer, PT"," Produk Usaha : Papan Reklame, Lampu Reklame Bisnis dengan produk",Jl Raya Jakarta - Bogor Km 47 Desa Nanggewer
"Mayer Crocodil Ii, PT", Produk Usaha : Jaket Pria Bisnis dengan produk,Jl.Raya Jakarta-bogor Km.39 Kel Pabuaran
"Mars Gain Madya, PT", Telepon :8752846  Produk Usaha : Jaket Pria Bisnis dengan produk,Jl.Mayoroking Desa Cibinong
"Inti Pancaran Api Kayu, PT", Produk Usaha : Jaket Pria Bisnis dengan produk,Jl.Mayor Oking No.62a Tlp.8754110 Kel Cirimekar
"Harapan Jaya, CV", Telepon :8752606 8753479  Produk Usaha : Jaket Pria Bisnis dengan produk,Jl. Raya Jakarta Bogor Km 46 No. 287
"Kaji Sangyo Indonesia, PT", Telepon :021-8753852 021-8753342  Produk Usaha : Jas Hujan Bisnis dengan produk,Jl.Bintang Mas No.23 Desa Nanggewer
Indra," Telepon :8752088  Produk Usaha : Jasa Makloon, Sweeter Bisnis dengan produk",Jl.Pasar Lama No.1
"Mayer Indah Indonesia, PT", Produk Usaha : Kain Brokat Bisnis dengan produk,Jl Raya Jakata Bogor Km 39 Kelpabuaran
"Megah Megalon Industries, PT", Telepon :021-8752742 021-8753365  Produk Usaha : Kain Non Woven Bisnis dengan produk,Jl. Raya Mayor Oking
"Flexible Foam, PT", Telepon :021-8752977  Produk Usaha : Karet Busa Bisnis dengan produk,Jl. Tapos Km 1 No. 11
"Tromatex/Tri Rose Mekar Textil Ind., PT", Produk Usaha : Kain Rajut Bisnis dengan produk,Jl Raya Jakarta-bogor Km 39 Telp 82074 Kel Pabuaran
