pt,keterangan,jalan
"Welgro Feedmill Indonesia, PT", Telepon :021-8752551 021-8752553  Produk Usaha : Pakan Ternak Bisnis dengan produk,Kp. Gudang
Sin Young Abadi, Telepon :021-87903329 021-8753203  Produk Usaha : P.U. Leather Bisnis dengan produk,Jl. Kebon Kopi No.66
"Ricky Putra Globalindo, PT", Telepon :021-8751052 021-8753604  Produk Usaha : Pakaian Dalam Pria Bisnis dengan produk,Jl. Industri No. 54
"Sumiden Serasi Wire Products, PT", Telepon :8754706 8752094  Produk Usaha : Pc.Strand Bisnis dengan produk,Jl Pahlawan Ds. Karang Asem Timur
Pangaji Mario Refconindo, Telepon :8753984  Produk Usaha : Peti Kemas Bisnis dengan produk,Jl Branta Mulia
"Bokoma Sentul Raya, PT", Telepon :021-8761504 021-8761503  Produk Usaha : Isolasi Bisnis dengan produk,Jl Desa Sentul No.88 Rt.01/05
"Intiras Busana Prana Int, PT", Telepon :021-8754279 021-8754282  Produk Usaha : Jaket Bisnis dengan produk,Jl Pahlawan Gg Atom Teater Kr.Asem Timur
"Hana Citra Indah/Elbamas Aditama, PT", Telepon :021-8752865 021-8758347  Produk Usaha : Jaket Pria Bisnis dengan produk,Jl. Pahlawan No. 68
"Sarana Gatra Utama, PT", Telepon :021-8754315 021-8752251  Produk Usaha : Lampu Tl Bisnis dengan produk,Jl. Atom Citeureup Ds.Karang Asem Timur
"Indoresco Industrial Co. Ltd, PT", Telepon :021-8193835-3973 021-8509361  Produk Usaha : Marker Bisnis dengan produk,Jl.Ry Jatinegara Timur No.94
"Nalco Perkasa, PT"," Telepon :8753175 8753167  Produk Usaha : Pulp, Paper Treatment Chemical Bisnis dengan produk",Jl. Pahlawan Desa Karang Asem Timur
"Cahaya Purindo Tama, PT", Produk Usaha : Meja Kursi Bisnis dengan produk,Jl.Lambau Rawa Haur
"Fatex Tori, PT", Telepon :8752688 8752556  Produk Usaha : Kain Grey Kantong Bisnis dengan produk,Jl. Raya Kamurang
"Sedjahtera Industrial&trading Co.Ltd, PT", Telepon :021-87950332 021-87920333  Produk Usaha : Kain Grey Bisnis dengan produk,Jl. Ds. Leuwinutug Po.Box 16
"Kuala Pangan, PT", Telepon :8752467 8751013  Produk Usaha : Mie Telor Bisnis dengan produk,Jl. Depan Terminal No. 23-25
"Ristra Indolab, PT"," Telepon :8754844 8754845  Produk Usaha : Kosmetik Ristra, Truste, Chicco Bisnis dengan produk",Jl. Lanbow Kp. Liobaru
Roti Lekker/Arifin S, Telepon :021-8751039  Produk Usaha : Roti Manis Bisnis dengan produk,Jl Re.Sulaeman No.55
"Cerval Foods, PT", Telepon :021-8752224 021-8752225  Produk Usaha : Sari Pati Ayam Bisnis dengan produk,Ds Kambing
"Baskara Ayu Brahma Agung Utama, PT", Telepon :021-87950533 021-87954632  Produk Usaha : Kulit Jadi Sapi Bisnis dengan produk,Jl Anyar
Novartis Biochemie. Pt, Telepon :021-8753184 021-8753895  Produk Usaha : Tablet Salut Gula Bisnis dengan produk,Jl. Pahlawan No. 25
"Melcoinda, PT", Telepon :021-8762510 021-8762515  Produk Usaha : Kwh Meter Bisnis dengan produk,Jl. Desa Sentul No. 77
"Sumber Baru, PD", Telepon :021-87950330-3 021-87950743  Produk Usaha : Keripik Bisnis dengan produk,Jl.Desa Sanja No I No 1
"Myston Lauy, PT", Produk Usaha : Kemeja Lengan Panjang Bisnis dengan produk,Jl.Lanbau Rawa Haur
